Tratamento,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
,1,07:32:23,"76,999994693324",0,"-1,26189634686917","0,206268280975471","959,358784826105",3,0,"407,832427978516","1958,14184570313",0,0,0,"0,791724777817579",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","0,59799027969286",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"2,12277868310956","0,968822168358341","23,4755325317383",2,"4,644859790802",1,"9,289719581604","24,3524627685547","23,4755325317383","24,2009449005127","966,057434082031","965,533386230469","19,0699691772461","20,4533138275147","58,9198303222656","63,1939010620117","300,628021240234","-0,503403306007385","66,6504440307617","94,5121154785156","-2,02957010269165","-0,40107598900795","0,75","-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50314010620117","0,00212277868310956","296,625532531738","297,502462768555","-0,0805445271608709","-0,335165189143958","2,90190812674273","30,704086053416","10,2507722259013","23,9139976501465","2,97953687305694","0,201787798865312","1,93308595838439","1,04645091467255","0,126512407194472","90,6710282568132","0,993604984050867","66,4821545579811","965,716767445942","-0,000868718353007203","1550,30941772461","-0,437960876226425",0,0,"1,26306518125723"
tr2t1b2,2,08:09:54,"2331,99983928353",0,"-483,466176439656","-0,14630714431134","-3737,79180727061",4,0,"3,0206298828125","4,5542688369751",0,0,0,"0,336747567844771",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","849,907697811194",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-1,76496403447311","1,09406710906079","23,4986820220947",2,"4,644859790802",1,"9,289719581604","25,4074382781982","23,4986820220947","25,4149894714355","1132,94262695313","1456,32495117188","20,3246555328369","19,1728591918945","58,9593734741211","55,6181526184082","300,595611572266","-0,652493000030518","153,512008666992","94,5031127929688","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50297805786133","-0,00176496403447311","296,648682022095","298,557438278198","-0,104398877671386","0,397650826639985","2,9059619838361","30,7499075739684","11,5770483820739","24,4530601501465","3,07745991823927","-0,148648259362569","1,81189487477531","1,26556504346396","-0,0926919523292726","-353,232960759129","-2,56659188889325","60,7692589695579","1526,58319012734","-0,192455160446466","1,5336389541626","-0,567668910026551",0,0,"2,96958343723202"
tr4t1b2,3,08:11:01,"2398,49983470049",0,"-220,588499600522","-0,18723235806926","-585,153319363878",5,0,"0,558056652545929","4,23193359375",0,0,0,"0,868131992106373",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","434,412430085684",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-2,29215778490953","1,10562433140483","23,3788833618164",2,"4,644859790802",1,"9,289719581604","25,3372020721436","23,3788833618164","25,3419361114502","1125,28308105469","1273,99133300781","20,3257846832275","18,8294467926025","59,2084083557129","54,8496208190918","300,600250244141","-0,581016004085541","151,120346069336","94,5015716552734","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50300125122071","-0,00229215778490953","296,528883361816","298,487202072144","-0,0929625585758112","0,492888929362835","2,88503664670511","30,5289805891194","11,6995337965169","24,35804271698","3,05999809801307","-0,191083608287721","1,77941231530028","1,28058578271279","-0,119075168264003","-55,2979083391866","-0,459307142994741","59,8993603614333","1306,04768000998","-0,101168665060212","3,67387694120407","-0,505483923554421",0,0,"1,1518985696791"
tr6t1b2,4,08:12:48,"2505,99982729182",0,"-122,107540081058","-0,170084217918497","54,6439311908525",6,0,"3,07652592658997","3,76845002174377",0,0,0,"0,183609731099373",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","385,985106975306",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-2,01539102644204","1,07221201550881","23,2571220397949",2,"4,644859790802",1,"9,289719581604","25,2102718353272","23,2571220397949","25,1895523071289","1114,14416503906","1196,99340820313","20,2747669219971","18,9592514038086","59,5079154968262","55,6467819213867","300,594055175781","-0,360646218061447","152,343460083008","94,5022354125977","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50297027587891","-0,00201539102644204","296,407122039795","298,360271835327","-0,05770339360006","0,443883501370334","2,86390365491815","30,3051419092291","11,3458905054205","24,2336969375611","3,03727734150947","-0,17325634487657","1,79169163940934","1,24558570210013","-0,107995680739318","5,16397364926773","0,045650987562982","60,899799794001","1214,73831187448","-0,0612175039807485","0,6919240951538","-0,313762209713459",0,0,"5,44633442907653"
tr1t1b2,5,08:15:21,"2659,49981671292",0,"-465,944500351262","-0,331080851824112","-778,153859013954",7,0,"1,90052485466003","3,70685696601868",0,0,0,"0,487294796620849",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","1166,16885577639",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-4,20472253735737","1,13040896678211","22,6909770965576",2,"4,644859790802",1,"9,289719581604","24,8134765625","22,6909770965576","24,8806133270264","1097,19702148438","1411,11535644531","20,0714664459229","17,3227157592773","60,320125579834","52,0593986511231","300,637329101563","-0,458268940448761","151,522033691406","94,5003356933594","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50318664550782","-0,00420472253735737","295,840977096558","297,9634765625","-0,0733230288329042","0,837495826753747","2,76741142115447","29,2846729151771","11,9619571558998","23,7522268295288","2,9506871007145","-0,3433164753101","1,63700245437235","1,31368464634215","-0,213438900427786","-73,5358008979018","-0,55144595759639","56,6326483926028","1478,8273115747","-0,178436460108122","1,80633211135865","-0,398693978190422",0,0,"2,05214586105682"
tr5t1b2,6,08:16:34,"2732,99981164746",0,"-313,158833089638","-0,394431231471854","63,2616926286992",8,0,"2,51453852653503","4,9013671875",0,0,0,"0,486972016104429",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","956,938350119101",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-5,08817810213911","1,14083182128559","22,3646011352539",2,"4,644859790802",1,"9,289719581604","24,6384334564209","22,3646011352539","24,7186870574951","1088,19946289063","1300,96630859375","19,9666881561279","16,6375579833984","60,6360740661621","50,5259628295898","300,590423583984","-0,374949187040329","151,346694946289","94,5003890991211","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50295211791992","-0,00508817810213911","295,514601135254","297,788433456421","-0,0599918685855297","1,0001687802979","2,71308752437592","28,7098026816607","12,0722446982623","23,5015172958374","2,90645882726198","-0,411920939532649","1,57225570309034","1,33420312417164","-0,255819964251996","5,97825456848107","0,048626695565299","55,0674774031342","1346,47515533097","-0,128074156411126","2,38682866096497","-0,326205792725086",0,0,"2,05350608850089"
tr3t1b2,7,08:17:48,"2806,99980654754",0,"-26,063206343628","-0,0994554187841868","670,486972746413",9,0,"2,5391845703125","3,42996644973755",0,0,0,"0,259705712134068",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","57,5451888283815",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-1,01554042290847","0,931511574253869","22,5702972412109",2,"4,644859790802",1,"9,289719581604","24,6040325164795","22,5702972412109","24,5946598052979","1082,1865234375","1100,27038574219","19,877513885498","19,2148342132568","60,4860153198242","58,4695243835449","300,605865478516","-0,500620186328888","152,700881958008","94,494873046875","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50302932739258","-0,00101554042290847","295,720297241211","297,754032516479","-0,0800992280222646","0,270535269762402","2,74721489385232","29,0726343691635","9,8578001559067","23,5871648788452","2,92150247075721","-0,100531707795068","1,81570331959845","1,10579915115876","-0,0627347249025798","63,3575813692559","0,609383821863146","64,8775843637431","1104,05794124963","-0,0153154812367411","0,89078187942505","-0,435539562106133",0,0,"3,85051215001298"
tr6t1b3,8,08:21:10,"3009,49979259167",0,"-246,564836886689","-0,0543178742129384","-5956,10326839853",10,0,"2,36160898208618","4,35654973983765",0,0,0,"0,457917590038996",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","569,903655350516",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-0,614104043200981","1,0357510517124","23,2098941802979",2,"4,644859790802",1,"9,289719581604","24,5467147827148","23,2098941802979","24,5511837005615","1063,3076171875","1227,85510253906","19,6620273590088","19,2613182067871","60,0323486328125","58,8088989257813","300,604858398438","-0,495273947715759","13,6133966445923","94,4894943237305","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50302429199219","-0,000614104043200981","296,359894180298","297,696714782715","-0,0792438298632836","0,168420923167085","2,85574326908017","30,2228654044449","10,9615471976578","23,8783044815064","2,97315033150842","-0,0546373439612495","1,81999221736778","1,15315811414064","-0,0341194931919884","-562,789185970896","-4,85081933208732","62,5920805208657","1263,68638106938","-0,122126869096791","1,99494075775147","-0,43088833451271",0,0,"2,18379905413732"
tr2t1b3,9,08:22:20,"3079,49978776742",0,"-32,9325235302735","-0,00598511345244234","-7659,85604203932",11,0,"2,13088369369507","4,9872350692749",0,0,0,"0,572732453133619",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","119,55448091803",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"-0,0684574034357028","1,05291128962579","23,4658126831055",2,"4,644859790802",1,"9,289719581604","24,6278953552246","23,4658126831055","24,6119842529297","1056,99096679688","1078,95227050781","19,5953884124756","19,5507297515869","59,5377540588379","59,4020652770996","300,586761474609","-0,307006895542145","13,2104063034058","94,4873275756836","-2,02957010269165","-0,40107598900795","0,5","-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50293380737304","-6,84574034357028E-05","296,615812683106","297,777895355225","-0,0491211021888009","0,064462533657052","2,90020749600764","30,6941424889449","11,143412737358","24,0468540191651","3,00341426974593","-0,00598897198406681","1,84729620638185","1,15611806336408","-0,00374276063374487","-723,759327026749","-7,09934651551751","62,7357375081518","1083,73808846231","-0,019064072525196","2,85635137557983","-0,267095999121666",0,0,"1,74601595304867"
tr4t1b3,10,08:24:16,"3194,9997798074",0,"-22,652706652467","0,0132318039818395","3759,96577614092",12,0,"2,47177743911743","3,38846254348755",0,0,0,"0,270531278597706",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","63,6970087535941",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,156599352892967","1,09133385899582","23,7400054931641",2,"4,644859790802",1,"9,289719581604","24,7905502319336","23,7400054931641","24,7514839172363","1048,20336914063","1063,16357421875","19,5540218353272","19,6561603546143","58,8351135253906","59,1424331665039","300,613739013672","-0,390727430582047","13,9884815216064","94,4835433959961","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50306869506836","0,000156599352892967","296,890005493164","297,940550231934","-0,0625163874957772","0,0197629985580137","2,94851753885968","31,2066782519148","11,5505178973005","24,2652778625489","3,04303386557932","0,0132129840794926","1,85718367986386","1,18585018571547","0,00825980384063671","355,25488957747","3,53658257987617","62,0751945773995","1066,45550932101","-0,013185464943136","0,91668510437012","-0,339932864606381",0,0,"3,69643024342133"
tr1t1b3,11,08:25:26,"3265,99977491424",0,"-63,1864224827238","0,0332941294582793","4081,92928999522",13,0,"2,86885976791382","4,5647668838501",0,0,0,"0,371521078532248",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","121,394095225004",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,395922235278167","1,09864611138369","23,8697872161865",2,"4,644859790802",1,"9,289719581604","24,889310836792","23,8697872161865","24,8441925048828","1043,6484375","1085,40063476563","19,565845489502","19,824031829834","58,5226936340332","59,2949485778809","300,615020751953","-0,588814854621887","14,1673927307129","94,4803771972656","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50307510375977","0,000395922235278167","297,019787216187","298,039310836792","-0,0942103746337357","-0,0239283915670109","2,971628116237","31,4523312077019","11,6282993778679","24,3795490264893","3,06394281615802","0,0331752302384842","1,87298200485332","1,1909608113047","0,0207451685693443","385,662219011315","3,76075815625133","62,1915051504543","1094,5830077751","-0,0359009658596903","1,69590711593628","-0,512268923521042",0,0,"2,69163731961227"
tr3t1b3,12,08:26:48,"3347,49976929743",0,"-19,4248399025585","0,0166264253588044","2884,20675571615",14,0,"2,17255854606628","3,37677884101868",0,0,0,"0,356618052779885",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","65,114458355215",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,205582716728616","1,1401319892249","24,0686016082764",2,"4,644859790802",1,"9,289719581604","25,0109958648682","24,0686016082764","24,9571628570557","1038,24926757813","1051,03051757813","19,6288356781006","19,7629241943359","58,2864952087402","58,6846618652344","300,577270507813","-0,325242310762405","14,0264778137207","94,4802856445313","-2,02957010269165","-0,40107598900795","0,25","-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50288635253906","0,000205582716728616","297,218601608276","298,160995864868","-0,0520387685588276","0,00637861995495751","3,00733871227697","31,8303304415448","12,0674062472089","24,5397987365723","3,09347628028113","0,0165967211096818","1,86720672305207","1,22626955722905","0,0103756153511295","272,500678137949","2,74417032377155","61,1539766691977","1053,85337284713","-0,0112720254715765","1,2042202949524","-0,282960810363292",0,0,"2,80412052111458"
tr5t1b3,13,08:28:39,"3458,49976164755",0,"-113,249355183048","0,0635670880893757","3924,11672845824",15,0,"2,21022939682007","3,94956755638123",0,0,0,"0,440386987874394",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","241,977656307437",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,768240061671285","1,11965936850451","24,2057247161865",2,"4,644859790802",1,"9,289719581604","25,1639404296875","24,2057247161865","25,1079368591309","1031,02600097656","1105,81616210938","19,7402095794678","20,2410449981689","58,0899772644043","59,5637969970703","300,573822021484","-0,533199012279511","13,9435424804688","94,4875717163086","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50286911010742","0,000768240061671285","297,355724716187","298,313940429688","-0,0853118400578534","-0,0921946252540403","3,03218655938202","32,090850725701","11,8498057275321","24,684832572937","3,12041971638316","0,0631350715340342","1,91252719087751","1,20789252550565","0,039498007606135","370,780260803364","3,54861582143352","62,3397322950738","1122,2737772348","-0,0629074173157292","1,73933815956116","-0,463883140683175",0,0,"2,2707301249446"
tr6t1b4,14,08:30:21,"3561,499754549",0,"-72,1257845968587","0,0580149006142251","3031,42495243333",16,0,"1,606689453125","3,84720277786255",0,0,0,"0,582374637913509",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","231,578631240234",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,712071662069719","1,13616537762666","24,3497982025147",2,"4,644859790802",1,"9,289719581604","25,294548034668","24,3497982025147","25,2364768981934","1024,64587402344","1072,13134765625","19,8814716339111","20,3456535339355","58,0499382019043","59,4052619934082","300,564971923828","-0,353028148412704","13,9336500167847","94,4831619262695","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50282485961914","0,000712071662069719","297,499798202515","298,444548034668","-0,0564845024835055","-0,0827223077264572","3,05848705496927","32,3707102156041","12,0250566816686","24,8221731185914","3,14612279093364","0,0576548423883864","1,92232167734261","1,22380111359104","0,0360664534131412","286,418614648092","2,82747534531121","62,0831786631256","1082,61280604156","-0,0413610290434067","2,24051332473755","-0,307134489119053",0,0,"1,71710774284871"
tr1t1b4,15,08:31:34,"3634,499749518",0,"-32,8298314914085","0,0452067897442251","2175,15356118317",17,0,"2,32528066635132","4,45706605911255",0,0,0,"0,478293425425624",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","95,7850743761004",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,567893497082423","1,16108277921917","24,492223739624",2,"4,644859790802",1,"9,289719581604","25,3959369659424","24,492223739624","25,3333492279053","1019,37414550781","1040,82287597656","19,9889163970947","20,3590488433838","58,0132141113281","59,0874366760254","300,612243652344","-0,381959438323975","13,6768436431885","94,483772277832","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50306121826172","0,000567893497082423","297,642223739624","298,545936965942","-0,0611135087658425","-0,0591333968435385","3,08468251393071","32,6477493390094","12,2887004956256","24,9440803527832","3,16909236031726","0,0449878641996968","1,92359973471153","1,24549262560572","0,0281370025998004","205,516713744146","2,08984027098974","61,5222223610919","1045,59377052554","-0,0193169111181337","2,13178539276123","-0,332304711341858",0,0,"2,09076676960407"
